applicant_id,jurisdiction,region,age_group,employment_status,annual_income,debt_to_income,credit_history_years,missed_payments_12m,credit_utilization,existing_customer,customer_tenure_years,spending_volatility,requested_credit_limit,synthetic_group_proxy,prob_good_repayment,good_repayment_12m,policy_score,approval_decision
APP-00467,US,US_West,25-34,Full-time,96307,0.22,4.3,0,0.487,0,0,0.182,7700,Group_A,0.9507,1,0.4772,Declined
APP-00468,EU,EU_North,25-34,Full-time,88585,0.142,7.7,0,0.303,0,0,0.074,10500,Group_A,0.9602,1,0.4973,Manual Review
APP-00469,US,US_West,55+,Student,74494,0.468,18,1,0.459,1,9.9,0.617,11400,Group_A,0.8925,0,0.4941,Manual Review
APP-00470,EU,EU_West,45-54,Part-time,66669,0.49,19.9,2,0.48,1,9.8,0.617,10200,Group_A,0.7078,1,0.4297,Declined
APP-00471,US,US_East,55+,Self-employed,63247,0.072,19.3,0,0.293,1,11.2,0.459,11300,Group_A,0.99,1,0.5682,Manual Review
APP-00472,EU,EU_West,55+,Part-time,31893,0.333,19.5,3,0.712,0,0,0.448,6300,Group_C,0.5378,1,0.2225,Declined
APP-00473,US,US_West,25-34,Self-employed,71094,0.09,6.2,1,0.229,1,5.4,0.309,9700,Group_C,0.9784,1,0.554,Manual Review
APP-00474,EU,EU_West,25-34,Unemployed,12000,0.46,3.1,1,0.657,1,1.3,0.373,3300,Group_B,0.2191,0,0.0657,Declined
APP-00475,US,US_South,35-44,Self-employed,75853,0.472,11.3,1,0.314,1,7.9,0.475,18500,Group_A,0.7123,1,0.4405,Declined
APP-00476,EU,EU_South,35-44,Student,33387,0.523,11.3,0,0.608,0,0,0.308,6000,Group_C,0.5588,0,0.2739,Declined
APP-00477,US,US_East,25-34,Full-time,40352,0.02,8.6,1,0.064,1,4.5,0.203,11500,Group_A,0.9444,1,0.6016,Approved
APP-00478,EU,EU_South,25-34,Full-time,41153,0.357,6,1,0.337,1,4.7,0.66,7800,Group_B,0.7482,0,0.4179,Declined
APP-00479,EU,EU_South,35-44,Full-time,129937,0.057,10.6,0,0.4,1,10.9,0.158,8900,Group_A,0.99,1,0.6164,Approved
APP-00480,US,US_South,35-44,Full-time,83923,0.166,8.5,0,0.315,1,8.5,0.217,20200,Group_B,0.98,1,0.6208,Approved
APP-00481,EU,EU_West,25-34,Self-employed,71270,0.354,11.7,2,0.883,1,9.4,0.475,6700,Group_A,0.7457,1,0.3272,Declined
APP-00482,EU,EU_West,35-44,Full-time,96695,0.226,12.1,0,0.425,0,0,0.198,24000,Group_C,0.9566,1,0.5974,Approved
APP-00483,US,US_South,35-44,Self-employed,80192,0.148,8,1,0.337,1,4.2,0.501,16800,Group_C,0.9174,1,0.4916,Manual Review
APP-00484,EU,EU_Central,35-44,Full-time,157904,0.265,11.2,0,0.467,1,7.7,0.276,25300,Group_A,0.99,1,0.6341,Approved
APP-00485,EU,EU_South,25-34,Full-time,78822,0.276,5.8,1,0.427,0,0,0.694,11300,Group_A,0.9066,1,0.5526,Manual Review
APP-00486,EU,EU_South,45-54,Full-time,46368,0.085,14.7,1,0.242,0,0,0.744,3100,Group_C,0.8772,1,0.5381,Manual Review
APP-00487,US,US_East,18-24,Unemployed,41573,0.445,0,4,0.386,0,0,0.57,2600,Group_A,0.1903,1,0.0276,Declined
APP-00488,US,US_Midwest,25-34,Full-time,82212,0.288,4.6,0,0.539,1,1.2,0.396,18800,Group_C,0.9429,1,0.5284,Manual Review
APP-00489,EU,EU_West,45-54,Full-time,61559,0.477,17.8,0,0.535,1,8,0.589,6300,Group_B,0.8892,1,0.5287,Manual Review
APP-00490,EU,EU_West,35-44,Self-employed,46885,0.514,12.3,1,0.287,0,0,0.803,7800,Group_A,0.712,0,0.4697,Declined
APP-00491,US,US_South,25-34,Self-employed,81356,0.276,1,2,0.445,1,0.4,0.282,19800,Group_A,0.8078,1,0.4519,Declined
APP-00492,EU,EU_West,35-44,Full-time,85625,0.354,13.7,0,0.331,1,12.9,0.344,11000,Group_A,0.9572,1,0.5507,Manual Review
APP-00493,US,US_West,35-44,Full-time,153614,0.288,11.2,0,0.414,1,7,0.456,28000,Group_B,0.9854,1,0.6165,Approved
APP-00494,US,US_South,45-54,Full-time,81952,0.21,15.2,2,0.345,1,6.8,0.184,13200,Group_A,0.9723,1,0.544,Manual Review
APP-00495,US,US_East,45-54,Unemployed,25705,0.554,17.6,1,0.275,1,8.4,0.612,1500,Group_A,0.5983,1,0.2727,Declined
APP-00496,US,US_South,35-44,Full-time,135072,0.413,9.1,0,0.575,0,0,0.442,26300,Group_A,0.9889,1,0.484,Manual Review
APP-00497,EU,EU_Central,35-44,Full-time,114715,0.341,7.8,0,0.674,1,4.9,0.524,20300,Group_B,0.9874,1,0.5427,Manual Review
APP-00498,US,US_Midwest,25-34,Full-time,75079,0.453,8.8,1,0.76,1,5.8,0.447,6500,Group_C,0.8675,0,0.3895,Declined
APP-00499,EU,EU_West,25-34,Full-time,94350,0.272,4.9,0,0.233,0,0,0.333,12800,Group_C,0.9735,1,0.5756,Manual Review
APP-00500,EU,EU_West,25-34,Part-time,45898,0.183,2.4,0,0.28,1,1.8,0.369,12700,Group_A,0.7201,0,0.375,Declined
APP-00501,EU,EU_North,35-44,Full-time,84042,0.313,8.7,0,0.274,0,0,0.174,3300,Group_B,0.897,1,0.4847,Manual Review
APP-00502,US,US_West,35-44,Full-time,127782,0.269,8.6,1,0.278,1,7.1,0.141,16500,Group_B,0.9841,1,0.5184,Manual Review
APP-00503,US,US_West,25-34,Full-time,82799,0.387,6.9,1,0.415,1,8.3,0.253,16800,Group_B,0.8279,1,0.443,Declined
APP-00504,EU,EU_Central,18-24,Full-time,44123,0.187,1.5,0,0.34,1,2.5,0.479,7000,Group_C,0.8689,1,0.3976,Declined
APP-00505,EU,EU_West,35-44,Full-time,165880,0.303,10.1,0,0.692,1,7.1,0.129,30000,Group_A,0.99,1,0.6366,Approved
APP-00506,US,US_South,25-34,Part-time,16106,0.325,8.8,0,0.271,1,6.2,0.222,1500,Group_A,0.8077,1,0.4416,Declined
APP-00507,EU,EU_West,45-54,Part-time,140888,0.444,15.3,0,0.683,1,4.5,0.443,20300,Group_C,0.9796,1,0.5807,Approved
APP-00508,EU,EU_South,18-24,Student,12000,0.329,0.8,0,0.501,0,0,0.676,3600,Group_A,0.46,0,0.2491,Declined
APP-00509,EU,EU_Central,35-44,Student,24803,0.151,11.3,3,0.647,0,0,0.19,700,Group_B,0.5554,1,0.2724,Declined
APP-00510,EU,EU_West,55+,Self-employed,68948,0.281,20.4,1,0.429,1,4.8,0.214,9800,Group_C,0.9529,1,0.5873,Approved
APP-00511,EU,EU_West,25-34,Full-time,69807,0.167,6.5,2,0.28,1,5.8,0.353,15400,Group_A,0.788,1,0.4774,Declined
APP-00512,US,US_Midwest,35-44,Part-time,82957,0.77,10.4,0,0.308,0,0,0.419,17000,Group_C,0.8104,1,0.4165,Declined
APP-00513,EU,EU_South,18-24,Part-time,19843,0.558,0.1,1,0.352,0,0,0.387,500,Group_A,0.1,0,0,Declined
APP-00514,EU,EU_South,35-44,Part-time,63547,0.294,9.8,0,0.254,0,0,0.329,7300,Group_A,0.9541,1,0.5543,Manual Review
APP-00515,US,US_West,35-44,Full-time,58316,0.381,8.8,0,0.328,1,10.6,0.657,9200,Group_B,0.9338,1,0.4659,Declined
APP-00516,US,US_West,25-34,Full-time,79477,0.121,5.1,0,0.322,0,0,0.084,14800,Group_C,0.9751,1,0.6424,Approved
APP-00517,US,US_South,35-44,Part-time,54888,0.26,13.8,0,0.539,0,0,0.682,7600,Group_A,0.7727,1,0.4476,Declined
APP-00518,EU,EU_Central,55+,Part-time,53801,0.314,21.5,1,0.589,0,0,0.397,6000,Group_A,0.9096,1,0.5172,Manual Review
APP-00519,EU,EU_North,25-34,Unemployed,19092,0.868,6.2,2,0.617,0,0,0.554,800,Group_B,0.0453,0,0,Declined
APP-00520,US,US_South,18-24,Full-time,33988,0.146,0.3,1,0.154,0,0,0.454,7000,Group_B,0.7416,1,0.354,Declined
APP-00521,EU,EU_North,45-54,Full-time,91326,0.463,16.1,0,0.482,0,0,0.408,20400,Group_B,0.9167,1,0.5992,Approved
APP-00522,US,US_West,35-44,Full-time,138017,0.348,11.9,1,0.417,0,0,0.357,27200,Group_A,0.9772,1,0.6307,Approved
APP-00523,EU,EU_West,55+,Part-time,39419,0.215,21,0,0.416,0,0,0.376,9200,Group_A,0.8478,1,0.5555,Manual Review
APP-00524,EU,EU_North,35-44,Full-time,61054,0.475,11,1,0.75,1,7.4,0.608,17500,Group_A,0.7678,1,0.3803,Declined
APP-00525,EU,EU_North,45-54,Full-time,105765,0.422,11.7,1,0.251,0,0,0.613,12400,Group_B,0.8491,0,0.5128,Manual Review
APP-00526,US,US_East,25-34,Unemployed,28753,0.524,7.6,2,0.452,1,5.9,0.567,4400,Group_A,0.5946,1,0.2557,Declined
APP-00527,US,US_West,45-54,Full-time,139145,0.307,15.9,1,0.2,1,10.5,0.289,9400,Group_A,0.99,1,0.681,Approved
APP-00528,US,US_South,55+,Part-time,32036,0.446,18.9,1,0.37,0,0,0.607,7600,Group_C,0.7412,1,0.4286,Declined
APP-00529,US,US_Midwest,35-44,Full-time,40526,0.147,13.4,1,0.149,0,0,0.172,3000,Group_A,0.9504,1,0.5403,Manual Review
APP-00530,EU,EU_South,25-34,Part-time,34279,0.498,2.7,0,0.54,1,4.8,0.592,4700,Group_C,0.3236,1,0.0975,Declined
APP-00531,EU,EU_Central,25-34,Full-time,44264,0.502,3.4,0,0.661,1,4.9,0.506,5400,Group_B,0.5434,1,0.2375,Declined
APP-00532,EU,EU_West,25-34,Student,26224,0.337,6.6,3,0.456,0,0,0.418,1800,Group_B,0.3832,0,0.1456,Declined
APP-00533,EU,EU_South,25-34,Student,24341,0.489,7.2,1,0.255,0,0,0.611,2600,Group_A,0.4693,1,0.2805,Declined
APP-00534,EU,EU_South,25-34,Full-time,104074,0.174,6.4,1,0.303,0,0,0.333,9100,Group_A,0.9326,1,0.5901,Approved
APP-00535,EU,EU_North,35-44,Full-time,66447,0.326,9.4,1,0.302,1,12.1,0.262,16400,Group_B,0.9549,1,0.5714,Manual Review
APP-00536,EU,EU_West,35-44,Full-time,80947,0.195,9.2,1,0.121,1,9.2,0.268,7500,Group_B,0.9747,1,0.5963,Approved
APP-00537,EU,EU_West,25-34,Self-employed,61251,0.242,1,4,0.719,0,0,0.449,8900,Group_B,0.3886,0,0.1148,Declined
APP-00538,US,US_South,35-44,Student,42842,0.301,10.2,0,0.723,0,0,0.4,3900,Group_A,0.7879,0,0.4379,Declined
APP-00539,US,US_West,18-24,Full-time,42295,0.318,3.9,2,0.245,0,0,0.434,6500,Group_B,0.5093,1,0.1724,Declined
APP-00540,US,US_South,18-24,Self-employed,49123,0.228,0,1,0.499,1,0,0.323,9700,Group_B,0.6731,0,0.341,Declined
APP-00541,EU,EU_South,25-34,Full-time,43684,0.383,3.6,0,0.418,1,0.8,0.488,3500,Group_B,0.4953,0,0.2108,Declined
APP-00542,EU,EU_South,35-44,Part-time,88903,0.255,7.6,2,0.359,1,10.9,0.833,19300,Group_B,0.826,1,0.4371,Declined
APP-00543,US,US_South,25-34,Unemployed,21984,0.51,4.1,1,0.959,0,0,0.432,3600,Group_B,0.1427,1,0,Declined
APP-00544,EU,EU_South,25-34,Full-time,34634,0.408,3,0,0.545,1,3.4,0.553,11600,Group_B,0.7549,1,0.3617,Declined
APP-00545,EU,EU_North,25-34,Full-time,81148,0.181,7.6,1,0.228,0,0,0.192,7400,Group_A,0.9585,1,0.5646,Manual Review
APP-00546,US,US_Midwest,45-54,Full-time,65285,0.444,16.4,0,0.431,1,6.6,0.309,12400,Group_A,0.9255,1,0.5632,Manual Review
APP-00547,US,US_South,18-24,Full-time,68824,0.249,4.2,2,0.327,0,0,0.326,19400,Group_A,0.6977,1,0.3728,Declined
APP-00548,EU,EU_North,35-44,Full-time,243965,0.25,8.7,1,0.492,1,6.4,0.327,30000,Group_A,0.99,1,0.6673,Approved
APP-00549,US,US_West,35-44,Full-time,63354,0.361,10.3,0,0.356,0,0,0.19,11800,Group_A,0.9025,1,0.4551,Declined
APP-00550,EU,EU_West,45-54,Full-time,111203,0.315,15.5,2,0.566,1,8.4,0.534,21300,Group_A,0.9651,1,0.5185,Manual Review
APP-00551,US,US_South,55+,Full-time,37403,0.258,22,1,0.43,0,0,0.202,7200,Group_A,0.9553,1,0.5705,Manual Review
APP-00552,EU,EU_West,18-24,Full-time,62578,0.048,0.8,0,0.049,0,0,0.351,13900,Group_A,0.9298,1,0.574,Manual Review
APP-00553,EU,EU_South,25-34,Self-employed,38301,0.411,6.3,1,0.267,0,0,0.299,2600,Group_B,0.6391,0,0.3192,Declined
APP-00554,EU,EU_North,45-54,Full-time,67466,0.038,17.6,0,0.189,1,10.8,0.131,11400,Group_C,0.99,1,0.6699,Approved
APP-00555,EU,EU_North,35-44,Part-time,34428,0.215,8.8,1,0.346,0,0,0.223,8700,Group_A,0.6919,1,0.3216,Declined
APP-00556,US,US_Midwest,35-44,Self-employed,106933,0.146,8.9,0,0.197,0,0,0.329,4100,Group_C,0.9809,1,0.6296,Approved
APP-00557,US,US_East,35-44,Full-time,142023,0.309,9.8,2,0.24,0,0,0.207,16400,Group_A,0.9256,0,0.5418,Manual Review
APP-00558,US,US_Midwest,35-44,Full-time,91215,0.175,16.8,0,0.505,0,0,0.344,11400,Group_A,0.9752,1,0.562,Manual Review
APP-00559,EU,EU_South,55+,Part-time,34969,0.372,20.1,1,0.606,0,0,0.475,7000,Group_A,0.8315,1,0.4267,Declined
APP-00560,EU,EU_Central,55+,Unemployed,65940,0.249,24.7,0,0.351,0,0,0.36,13100,Group_A,0.9716,1,0.6085,Approved
APP-00561,EU,EU_West,45-54,Full-time,57253,0.217,11,0,0.322,0,0,0.245,10500,Group_B,0.9742,1,0.5833,Approved
APP-00562,US,US_South,25-34,Full-time,23620,0.164,2.1,0,0.305,0,0,0.549,5800,Group_B,0.8254,1,0.4512,Declined
APP-00563,US,US_Midwest,45-54,Full-time,117691,0.54,14.5,1,0.806,1,6.6,0.395,17000,Group_A,0.9604,1,0.5218,Manual Review
APP-00564,US,US_South,18-24,Full-time,31032,0.122,0.6,0,0.176,0,0,0.266,5900,Group_A,0.8261,1,0.4769,Declined
APP-00565,US,US_West,25-34,Full-time,116340,0.135,5.9,2,0.787,1,8.5,0.287,15500,Group_A,0.9324,1,0.5896,Approved
APP-00566,EU,EU_North,55+,Full-time,69423,0.457,19.4,2,0.347,0,0,0.356,12500,Group_A,0.9199,0,0.5273,Manual Review
APP-00567,US,US_South,25-34,Self-employed,89331,0.34,4.7,0,0.376,1,5.6,0.338,8900,Group_A,0.9459,1,0.5379,Manual Review
APP-00568,US,US_South,25-34,Full-time,140095,0.307,9,0,0.353,0,0,0.484,11900,Group_A,0.9802,1,0.5835,Approved
APP-00569,EU,EU_North,25-34,Full-time,36272,0.213,7,1,0.229,1,8.9,0.545,1800,Group_B,0.7652,1,0.4072,Declined
APP-00570,US,US_West,45-54,Full-time,69278,0.33,17.1,5,0.19,0,0,0.184,13200,Group_C,0.7648,0,0.4915,Manual Review
APP-00571,US,US_West,35-44,Full-time,87239,0.171,12.2,0,0.271,0,0,0.323,18000,Group_A,0.9885,1,0.6575,Approved
APP-00572,EU,EU_North,35-44,Full-time,168276,0.324,10.2,1,0.409,0,0,0.588,23200,Group_C,0.9878,1,0.6141,Approved
APP-00573,US,US_West,25-34,Full-time,55444,0.376,5.4,0,0.692,0,0,0.902,3800,Group_A,0.6939,0,0.3652,Declined
APP-00574,EU,EU_West,45-54,Student,31860,0.328,13.9,3,0.376,0,0,0.622,6100,Group_A,0.5546,1,0.3262,Declined
APP-00575,EU,EU_Central,45-54,Full-time,118742,0.506,16.8,1,0.474,0,0,0.425,11900,Group_A,0.9718,1,0.5604,Manual Review
APP-00576,EU,EU_West,25-34,Self-employed,44005,0.461,1.7,0,0.408,1,1.8,0.567,11000,Group_B,0.6812,1,0.28,Declined
APP-00577,US,US_Midwest,25-34,Student,32407,0.352,3.3,2,0.603,0,0,0.656,8700,Group_C,0.2817,1,0.1178,Declined
APP-00578,EU,EU_West,25-34,Full-time,31088,0.698,6.8,2,0.502,0,0,0.236,5800,Group_B,0.2582,0,0.0977,Declined
APP-00579,US,US_West,55+,Full-time,223225,0.037,25.2,0,0.436,1,9.6,0.205,14900,Group_A,0.99,1,0.7768,Approved
APP-00580,US,US_East,35-44,Full-time,41248,0.207,9.7,0,0.266,1,6.6,0.136,9900,Group_B,0.9238,1,0.513,Manual Review
APP-00581,US,US_West,55+,Student,31001,0.436,23.4,0,0.461,0,0,0.593,11000,Group_A,0.9415,1,0.6,Approved
APP-00582,EU,EU_South,25-34,Unemployed,26837,0.461,5,1,0.705,1,8.4,0.366,6600,Group_C,0.4032,1,0.1589,Declined
APP-00583,US,US_South,45-54,Part-time,141774,0.074,13.1,0,0.288,0,0,0.58,13300,Group_A,0.99,1,0.6112,Approved
APP-00584,US,US_East,45-54,Full-time,52752,0.212,17.3,0,0.144,0,0,0.209,11600,Group_A,0.9805,1,0.5385,Manual Review
APP-00585,EU,EU_North,35-44,Self-employed,168641,0.467,10.1,0,0.504,0,0,0.696,25900,Group_B,0.9724,1,0.5873,Approved
APP-00586,US,US_West,55+,Full-time,97109,0.315,19,1,0.354,0,0,0.529,11500,Group_B,0.9789,1,0.6124,Approved
APP-00587,US,US_South,25-34,Full-time,89958,0.463,6,1,0.428,0,0,0.463,19500,Group_A,0.8523,1,0.4521,Declined
APP-00588,US,US_South,25-34,Full-time,40123,0.227,6.4,1,0.422,0,0,0.695,8000,Group_B,0.7695,1,0.4887,Manual Review
APP-00589,US,US_Midwest,35-44,Full-time,116713,0.522,8.8,2,0.726,0,0,0.229,15800,Group_A,0.7963,1,0.4398,Declined
APP-00590,US,US_Midwest,45-54,Part-time,36282,0.353,12.1,3,0.301,1,8.3,0.707,3800,Group_B,0.475,1,0.207,Declined
APP-00591,US,US_South,35-44,Full-time,133764,0.447,6.6,0,0.454,1,4.3,0.31,20400,Group_B,0.927,1,0.4533,Declined
APP-00592,EU,EU_West,25-34,Full-time,40368,0.221,4.5,0,0.452,1,3,0.336,6300,Group_B,0.8124,1,0.4413,Declined
APP-00593,US,US_West,35-44,Full-time,71891,0.721,6.4,0,0.707,1,7.9,0.48,8200,Group_B,0.6844,0,0.359,Declined
APP-00594,US,US_South,25-34,Student,25251,0.28,5,2,0.277,1,4.1,0.423,5100,Group_A,0.4292,0,0.2801,Declined
APP-00595,EU,EU_South,25-34,Part-time,29934,0.543,4.9,1,0.451,1,6.7,0.446,6200,Group_A,0.456,1,0.1823,Declined
APP-00596,US,US_Midwest,35-44,Full-time,105601,0.309,8.2,0,0.23,1,7.7,0.305,12600,Group_B,0.9813,0,0.6605,Approved
APP-00597,EU,EU_North,45-54,Full-time,121845,0.606,12.7,2,0.511,0,0,0.302,23500,Group_A,0.9301,1,0.4686,Declined
APP-00598,US,US_West,25-34,Full-time,128471,0.111,6.7,1,0.419,0,0,0.105,8700,Group_A,0.9866,1,0.5887,Approved
APP-00599,US,US_Midwest,25-34,Student,14553,0.468,9.2,2,0.302,0,0,0.546,4300,Group_A,0.4327,0,0.1531,Declined
APP-00600,US,US_Midwest,25-34,Self-employed,109898,0.647,6.8,1,0.643,0,0,0.825,8900,Group_A,0.8134,1,0.4548,Declined
APP-00601,US,US_West,25-34,Full-time,192958,0.33,7.7,2,0.549,0,0,0.326,14000,Group_B,0.9885,1,0.5597,Manual Review
APP-00602,US,US_South,45-54,Self-employed,71349,0.335,18.9,1,0.439,0,0,0.262,10600,Group_A,0.9366,0,0.5693,Manual Review
APP-00603,US,US_South,55+,Full-time,162053,0.274,20.5,2,0.153,1,6.9,0.293,29400,Group_B,0.99,1,0.6227,Approved
APP-00604,US,US_East,25-34,Part-time,41469,0.089,6.7,2,0.418,0,0,0.382,5800,Group_A,0.7794,1,0.4933,Manual Review
APP-00605,US,US_West,45-54,Full-time,51635,0.045,16,0,0.106,0,0,0.096,6200,Group_A,0.9477,1,0.5839,Approved
APP-00606,US,US_West,55+,Full-time,71822,0.399,22.7,2,0.489,0,0,0.449,8500,Group_A,0.9068,0,0.5474,Manual Review
APP-00607,US,US_Midwest,45-54,Full-time,153466,0.187,15.1,1,0.395,1,7.1,0.288,24900,Group_A,0.9858,1,0.5709,Manual Review
APP-00608,US,US_East,25-34,Full-time,51135,0.127,2.4,0,0.364,0,0,0.19,6000,Group_A,0.6979,1,0.3259,Declined
APP-00609,US,US_Midwest,55+,Student,22921,0.95,19.9,1,0.412,0,0,0.381,2000,Group_B,0.3292,1,0.0988,Declined
APP-00610,EU,EU_Central,25-34,Full-time,97391,0.07,4,0,0.332,1,0.6,0.319,7000,Group_A,0.9722,1,0.6163,Approved
APP-00611,US,US_West,25-34,Student,27207,0.354,2.2,0,0.528,1,6.5,0.475,2500,Group_B,0.5254,1,0.2641,Declined
APP-00612,EU,EU_Central,18-24,Part-time,41553,0.07,2.5,0,0.184,0,0,0.318,6200,Group_A,0.6367,1,0.4092,Declined
APP-00613,EU,EU_Central,35-44,Full-time,100456,0.072,10.8,0,0.49,1,8.3,0.415,9000,Group_A,0.99,1,0.5443,Manual Review
APP-00614,US,US_East,18-24,Full-time,53057,0.459,0,2,0.283,0,0,0.58,9400,Group_B,0.355,1,0.1687,Declined
APP-00615,EU,EU_West,25-34,Full-time,61382,0.218,6.9,1,0.423,1,8.7,0.213,14100,Group_A,0.9358,1,0.4953,Manual Review
APP-00616,EU,EU_Central,25-34,Part-time,51814,0.447,8.6,4,0.745,0,0,0.318,6600,Group_A,0.196,1,0.0065,Declined
APP-00617,US,US_South,45-54,Full-time,63084,0.486,13.5,1,0.445,1,2.4,0.54,9300,Group_A,0.816,0,0.4256,Declined
APP-00618,US,US_East,45-54,Full-time,170987,0.168,18.8,1,0.138,0,0,0.24,23900,Group_A,0.99,1,0.6873,Approved
APP-00619,EU,EU_West,25-34,Full-time,46974,0.131,0.9,0,0.512,0,0,0.293,9500,Group_B,0.7842,1,0.4393,Declined
APP-00620,EU,EU_West,45-54,Part-time,99634,0.335,20.7,2,0.431,0,0,0.769,9900,Group_A,0.935,1,0.6161,Approved
APP-00621,US,US_South,45-54,Full-time,72244,0.368,12.9,1,0.778,0,0,0.489,12900,Group_B,0.8645,0,0.484,Manual Review
APP-00622,US,US_East,45-54,Full-time,97876,0.335,15.3,0,0.28,0,0,0.217,11200,Group_C,0.9499,1,0.6121,Approved
APP-00623,US,US_Midwest,25-34,Full-time,59675,0.678,2.3,3,0.634,1,0.8,0.332,12300,Group_A,0.3759,1,0.1878,Declined
APP-00624,US,US_South,35-44,Full-time,53331,0.669,9.9,1,0.68,1,7.4,0.503,6000,Group_C,0.5093,0,0.2501,Declined
APP-00625,EU,EU_West,55+,Part-time,23531,0.355,21.5,2,0.222,0,0,0.533,6600,Group_A,0.593,1,0.3393,Declined
APP-00626,US,US_Midwest,35-44,Full-time,52395,0.2,9.8,0,0.26,0,0,0.182,3700,Group_C,0.8985,1,0.5465,Manual Review
APP-00627,US,US_West,25-34,Part-time,40351,0.209,5.3,2,0.215,1,5.5,0.522,3200,Group_A,0.7968,0,0.4996,Manual Review
APP-00628,EU,EU_Central,35-44,Self-employed,75979,0.577,6.7,0,0.724,1,6.9,0.654,6300,Group_B,0.5503,1,0.2278,Declined
APP-00629,US,US_West,35-44,Full-time,142220,0.129,13.5,0,0.363,0,0,0.428,24600,Group_A,0.99,1,0.6301,Approved
APP-00630,US,US_Midwest,35-44,Self-employed,67433,0.436,11.1,1,0.58,1,7.5,0.863,11600,Group_A,0.8334,1,0.5036,Manual Review
APP-00631,EU,EU_South,18-24,Full-time,28750,0.391,3.7,0,0.616,1,1.3,0.467,4500,Group_B,0.6556,1,0.2932,Declined
APP-00632,EU,EU_West,25-34,Full-time,32649,0.224,3.1,0,0.111,0,0,0.141,2700,Group_B,0.8655,1,0.5085,Manual Review
APP-00633,US,US_East,45-54,Self-employed,108511,0.328,15,4,0.773,0,0,0.328,8100,Group_A,0.7799,1,0.4824,Manual Review
APP-00634,US,US_West,45-54,Full-time,178436,0.218,17.8,0,0.242,0,0,0.29,30000,Group_A,0.99,1,0.6377,Approved
APP-00635,US,US_West,25-34,Self-employed,100877,0.277,0.7,1,0.578,1,3.6,0.314,9600,Group_B,0.8505,1,0.4422,Declined
APP-00636,US,US_South,55+,Full-time,95066,0.194,16.1,3,0.632,0,0,0.367,22700,Group_B,0.7879,0,0.5101,Manual Review
APP-00637,US,US_South,25-34,Student,40330,0.477,7.9,2,0.238,0,0,0.305,7300,Group_C,0.5042,0,0.2455,Declined
APP-00638,US,US_West,35-44,Self-employed,148270,0.288,6.2,1,0.631,1,4.4,0.35,12600,Group_B,0.984,1,0.4976,Manual Review
APP-00639,US,US_Midwest,45-54,Full-time,103776,0.178,11,1,0.31,0,0,0.126,20200,Group_C,0.9812,1,0.5787,Manual Review
APP-00640,US,US_Midwest,45-54,Full-time,107332,0.232,17.9,0,0.461,1,7.2,0.557,16600,Group_B,0.99,1,0.6519,Approved
APP-00641,US,US_South,55+,Part-time,44661,0.338,17.9,1,0.458,0,0,0.403,6900,Group_A,0.8098,0,0.5108,Manual Review
APP-00642,US,US_West,25-34,Part-time,25291,0.558,6.9,0,0.276,1,9.3,0.772,5700,Group_A,0.5771,1,0.2827,Declined
APP-00643,US,US_West,45-54,Full-time,58994,0.225,14,1,0.576,1,7.7,0.382,8300,Group_B,0.919,1,0.5376,Manual Review
APP-00644,US,US_West,25-34,Student,27058,0.42,0,0,0.736,1,0.4,0.409,4100,Group_B,0.2911,1,0.0632,Declined
APP-00645,US,US_Midwest,35-44,Full-time,92764,0.485,10.4,3,0.484,0,0,0.472,15500,Group_A,0.6907,1,0.4062,Declined
APP-00646,EU,EU_North,45-54,Full-time,227834,0.198,17,0,0.112,0,0,0.168,30000,Group_A,0.99,1,0.7888,Approved
APP-00647,EU,EU_North,35-44,Student,37992,0.248,10.8,0,0.348,1,11.6,0.287,5600,Group_C,0.674,0,0.4121,Declined
APP-00648,EU,EU_West,25-34,Student,55104,0.323,8.5,0,0.587,0,0,0.638,6200,Group_A,0.6815,1,0.3581,Declined
APP-00649,EU,EU_South,45-54,Self-employed,71883,0.385,15.1,0,0.709,1,4.3,0.629,6100,Group_A,0.9159,1,0.5274,Manual Review
APP-00650,US,US_East,25-34,Student,28176,0.261,8.1,0,0.359,1,11.6,0.316,7000,Group_A,0.8878,1,0.5188,Manual Review
APP-00651,US,US_East,18-24,Full-time,28053,0.243,1,0,0.221,1,1,0.212,6000,Group_A,0.7344,1,0.3859,Declined
APP-00652,US,US_West,45-54,Student,29810,0.509,12.9,3,0.622,0,0,0.764,6700,Group_A,0.1894,0,0.0779,Declined
APP-00653,EU,EU_West,35-44,Full-time,114416,0.317,8.1,0,0.6,1,9.4,0.231,14300,Group_A,0.9884,1,0.5857,Approved
APP-00654,EU,EU_South,45-54,Full-time,96081,0.02,12.8,0,0.628,1,9.5,0.36,7200,Group_A,0.972,0,0.6495,Approved
APP-00655,US,US_West,25-34,Full-time,95521,0.498,6.5,0,0.645,0,0,0.486,9800,Group_B,0.8622,1,0.4892,Manual Review
APP-00656,US,US_West,25-34,Full-time,80900,0.118,3.2,1,0.328,1,2.1,0.146,9500,Group_A,0.9669,1,0.5333,Manual Review
APP-00657,US,US_Midwest,45-54,Full-time,68481,0.205,14.4,0,0.21,0,0,0.289,12000,Group_B,0.9514,1,0.6389,Approved
APP-00658,US,US_East,35-44,Full-time,221504,0.292,9.4,0,0.197,1,6.4,0.376,30000,Group_C,0.99,1,0.7035,Approved
